model,pretrained,modality,run_name,seed,class_id,class_name,is_thin_class,iou,recall,precision,fpr,gt_pixels,pred_pixels,tp_pixels,fp_pixels,fn_pixels
unet,0,rgbde,run_01_seed_42,42,160,Buildings,0,0.9112106902857016,0.9565803486401582,0.9505246763487332,0.007908265,17964884,18079336,17184855,894481,780029
unet,0,rgbde,run_01_seed_42,42,180,Trees,0,0.8825003497614928,0.9379143391296113,0.937252292,0.027018119455351094,39431166,39459019,36983056,2475963,2448110
unet,0,rgbde,run_01_seed_42,42,200,Large Mesh,0,0.23567604510764323,0.7094930559524489,0.26084763925952387,0.000268415,17497,47591,12414,35177,5083
unet,0,rgbde,run_01_seed_42,42,220,Small Mesh,0,0.5000270134801951,0.9602574298041389,0.5105936594938897,0.011859694872965638,1667406,3135838,1601139,1534699,66267
unet,0,rgbde,run_01_seed_42,42,240,Thin Structures,1,0.32835500358955166,0.8909817446631385,0.34209942309290514,0.005513795,420425,1094977,374591,720386,45834
unet,0,rgbde,run_01_seed_42,42,255,Ultra-thin,1,0.1805512270581769,0.8038387958038136,0.18887297227875363,0.006275417,237835,1012220,191181,821039,46654
unet_pretrained,1,rgb,run_01_seed_42,42,0,Background,0,0.9007503807238892,0.9144149575465302,0.9836806617368375,0.017595837168677776,70387533,65431207,64363413,1067794,6024120
unet_pretrained,1,rgb,run_01_seed_42,42,80,Other,0,0.37813438135431227,0.8598851783699293,0.4029631459122962,0.004330281,443993,947439,381783,565656,62210
unet_pretrained,1,rgb,run_01_seed_42,42,100,Animals,0,0.007800859,0.016384389,0.014671941971645236,4.560278102345672e-05,5432,6066,89,5977,5343
unet_pretrained,1,rgb,run_01_seed_42,42,140,Vehicles,0,0.5658133050387406,0.9249216967946611,0.5930512845049878,0.002410019,495829,773294,458603,314691,37226
unet_pretrained,1,rgb,run_01_seed_42,42,160,Buildings,0,0.871520887,0.9343245968078614,0.9283951290574548,0.011445690119090296,17964884,18079622,16785033,1294589,1179851
unet_pretrained,1,rgb,run_01_seed_42,42,180,Trees,0,0.8642849074069687,0.9300117323439028,0.9244103883393874,0.032721734068897716,39431166,39670094,36671447,2998647,2759719
unet_pretrained,1,rgb,run_01_seed_42,42,200,Large Mesh,0,0.12036463204390008,0.6105046579413613,0.13037640970560954,0.000543667,17497,81932,10682,71250,6815
unet_pretrained,1,rgb,run_01_seed_42,42,220,Small Mesh,0,0.38844998050896146,0.9257211500978166,0.4009470181060261,0.017821739775328225,1667406,3849768,1543553,2306215,123853
unet_pretrained,1,rgb,run_01_seed_42,42,240,Thin Structures,1,0.2381425805742105,0.7674424689302491,0.25666456658839104,0.007152183,420425,1257096,322652,934444,97773
unet_pretrained,1,rgb,run_01_seed_42,42,255,Ultra-thin,1,0.087565109,0.41074694641242876,0.10014536403542044,0.006709196,237835,975482,97690,877792,140145
unet_pretrained,1,rgbd,run_01_seed_42,42,0,Background,0,0.911798674,0.9227051472311155,0.9872023963199008,0.013874061,70387533,65788879,64946939,841940,5440594
unet_pretrained,1,rgbd,run_01_seed_42,42,80,Other,0,0.4245188368655353,0.8939149941553133,0.44704056335680276,0.003758222,443993,887821,396892,490929,47101
unet_pretrained,1,rgbd,run_01_seed_42,42,100,Animals,0,0.021333333333333333,0.027982326951399118,0.082384824,1.291710026312736e-05,5432,1845,152,1693,5280
unet_pretrained,1,rgbd,run_01_seed_42,42,140,Vehicles,0,0.5863837733037992,0.9588930861244501,0.6015042445251318,0.002412255,495829,790430,475447,314983,20382
unet_pretrained,1,rgbd,run_01_seed_42,42,160,Buildings,0,0.8923040101279324,0.9463132631415823,0.9398834041804126,0.009613683,17964884,18087784,17000408,1087376,964476
unet_pretrained,1,rgbd,run_01_seed_42,42,180,Trees,0,0.8700825888341964,0.9286467714396273,0.9324179037071185,0.028961576233581636,39431166,39271688,36617625,2654063,2813541
unet_pretrained,1,rgbd,run_01_seed_42,42,200,Large Mesh,0,0.15512473791364065,0.5835286049036977,0.17443747757598538,0.000368709,17497,58531,10210,48321,7287
unet_pretrained,1,rgbd,run_01_seed_42,42,220,Small Mesh,0,0.4231516611832996,0.9485392279984599,0.4330942497537557,0.015998357832643872,1667406,3651861,1581600,2070261,85806
unet_pretrained,1,rgbd,run_01_seed_42,42,240,Thin Structures,1,0.28072264458256796,0.8338395671047155,0.29735678709082025,0.006340352,420425,1178944,350567,828377,69858
unet_pretrained,1,rgbd,run_01_seed_42,42,255,Ultra-thin,1,0.12471494493880676,0.7422624929047449,0.1303602007654608,0.009001326,237835,1354217,176536,1177681,61299
unet_pretrained,1,rgbe,run_01_seed_42,42,0,Background,0,0.9022311679265482,0.9160512984593451,0.9835535363793407,0.017766935,70387533,65556768,64478591,1078177,5908942
unet_pretrained,1,rgbe,run_01_seed_42,42,80,Other,0,0.37197127729812335,0.8590585887615345,0.39614712706711785,0.004450791,443993,962814,381416,581398,62577
unet_pretrained,1,rgbe,run_01_seed_42,42,100,Animals,0,0.004482697,0.004602356,0.14705882352941177,1.1063080556133889e-06,5432,170,25,145,5407
unet_pretrained,1,rgbe,run_01_seed_42,42,140,Vehicles,0,0.5615251552463048,0.9322810888431294,0.5854025487854454,0.002507188,495829,789631,462252,327379,33577
unet_pretrained,1,rgbe,run_01_seed_42,42,160,Buildings,0,0.8696123505937744,0.9403385515876418,0.9203942755243086,0.012917816771139316,17964884,18354170,16893073,1461097,1071811
unet_pretrained,1,rgbe,run_01_seed_42,42,180,Trees,0,0.857415839,0.9207414003430687,0.9257425395442574,0.031778847,39431166,39218147,36305907,2912240,3125259
unet_pretrained,1,rgbe,run_01_seed_42,42,200,Large Mesh,0,0.13863311798707922,0.58255701,0.15392398181845637,0.000427517,17497,66221,10193,56028,7304
unet_pretrained,1,rgbe,run_01_seed_42,42,220,Small Mesh,0,0.40073587568106084,0.9176727203812389,0.4156801008412036,0.016621527,1667406,3681035,1530133,2150902,137273
unet_pretrained,1,rgbe,run_01_seed_42,42,240,Thin Structures,1,0.2490066693097912,0.7544056609383362,0.27097260893078207,0.006531265,420425,1170491,317171,853320,103254
unet_pretrained,1,rgbe,run_01_seed_42,42,255,Ultra-thin,1,0.073110496,0.4326612987995879,0.080862644,0.008939951,237835,1272553,102902,1169651,134933
unet_pretrained,1,rgbde,run_01_seed_42,42,0,Background,0,0.9121665205699994,0.9219489195622185,0.9885014861938122,0.012439113949867929,70387533,65648571,64893710,754861,5493823
unet_pretrained,1,rgbde,run_01_seed_42,42,80,Other,0,0.4395129997749102,0.8839666391136797,0.46642201224302077,0.003437119,443993,841459,392475,448984,51518
unet_pretrained,1,rgbde,run_01_seed_42,42,100,Animals,0,0.010794279,0.022091310751104567,0.020671835,4.3374905490773204e-05,5432,5805,120,5685,5312
unet_pretrained,1,rgbde,run_01_seed_42,42,140,Vehicles,0,0.6181787209508023,0.9514570547507306,0.6383105391055859,0.002047204,495829,739076,471760,267316,24069
unet_pretrained,1,rgbde,run_01_seed_42,42,160,Buildings,0,0.8922715401192336,0.9465164372895478,0.9396470577443309,0.00965598,17964884,18096218,17004058,1092160,960826
unet_pretrained,1,rgbde,run_01_seed_42,42,180,Trees,0,0.8729062270942771,0.935080439,0.9292197405016243,0.030647375,39431166,39679863,36871312,2808551,2559854
unet_pretrained,1,rgbde,run_01_seed_42,42,200,Large Mesh,0,0.19341874900525227,0.5556381093901812,0.22881216314810893,0.000250026,17497,42489,9722,32767,7775
unet_pretrained,1,rgbde,run_01_seed_42,42,220,Small Mesh,0,0.4167001513648608,0.9503378301385506,0.42597606134532284,0.016501161,1667406,3719925,1584599,2135326,82807
unet_pretrained,1,rgbde,run_01_seed_42,42,240,Thin Structures,1,0.26937141872122855,0.8325836950704644,0.28479757216780033,0.006728132,420425,1229080,350039,879041,70386
unet_pretrained,1,rgbde,run_01_seed_42,42,255,Ultra-thin,1,0.14411672301126047,0.6924043980070217,0.15397460902802582,0.0069159,237835,1069514,164678,904836,73157
deeplabv3,0,rgb,run_01_seed_42,42,0,Background,0,0.8777489832846176,0.8980959028639347,0.9748384004205384,0.026887259304757508,70387533,64846394,63214755,1631639,7172778
deeplabv3,0,rgb,run_01_seed_42,42,80,Other,0,0.36214786794649734,0.8448308869734433,0.3879526471038446,0.004530185,443993,966868,375099,591769,68894
deeplabv3,0,rgb,run_01_seed_42,42,100,Animals,0,0.001198681,0.001472754,0.0064,9.476100724633302e-06,5432,1250,8,1242,5424
