rank_by_tocs,model,pretrained,modality,run_name,seed,checkpoint_epoch,miou,biou,recall,precision,fpr,fps,latency_ms,tocs,eval_wall_time_s,best_val_tocs,normalization,class_weight_max
,unet,0,rgb,run_01_seed_42,42,49,0.4920338083796222,0.5753853947897142,0.7528386184241174,0.527176316,0.008919602,129.69652059408944,123.36491315811872,0.3898027795375767,1400.2920618299395,0.4096493050867182,none,10
,unet,0,rgbd,run_01_seed_42,42,50,0.5294652646152808,0.6419473970098435,0.8193094687929486,0.5676395052556712,0.007655751,129.4665254128753,123.58406892418861,0.4631289006920443,1368.3952258657664,0.48432706437992384,none,10
,unet,0,rgbe,run_01_seed_42,42,47,0.4911903307783003,0.575784783,0.7611830308641083,0.52738001,0.00906856,129.70462330328485,123.3572064936161,0.38463674246576257,1451.816087210551,0.4005187909631156,none,10
,unet,0,rgbde,run_01_seed_42,42,49,0.5289650853310341,0.6431894898801567,0.8213522122497519,0.575714677,0.007712999,129.42261855874952,123.62599503993988,0.45807033286521387,1519.584902501665,0.47645007731735883,none,10
,unet_pretrained,1,rgb,run_01_seed_42,42,48,0.4422827023158483,0.5241607765486401,0.729435777,0.4735305909958057,0.010077595,1426.7667578508122,11.214166514575481,0.3353474730577071,1442.9671943997964,0.35491017157629906,imagenet,10
,unet_pretrained,1,rgbd,run_01_seed_42,42,42,0.46901352046462313,0.5810727711470761,0.7786625481955105,0.5025682051123628,0.009034146,1420.8538019771431,11.260834842920303,0.3940989561577112,1422.3687913361937,0.41239305178124935,imagenet,10
,unet_pretrained,1,rgbe,run_01_seed_42,42,50,0.4428724646570771,0.530792363,0.7260369974293466,0.48797381862551975,0.010194294369762302,1422.1731744421463,11.250387988984585,0.3337173732759509,1436.1393994102255,0.3546162255245226,imagenet,10
,unet_pretrained,1,rgbde,run_01_seed_42,42,39,0.4769437329643938,0.5810422019554504,0.769202483,0.5076333076102955,0.008866538,1408.3984719908592,11.360421299934387,0.3985415881580717,1433.580740316771,0.41826577738183235,imagenet,10
,deeplabv3,0,rgb,run_01_seed_42,42,50,0.41800672893892815,0.5164954697998576,0.7166730877376951,0.4517294199154088,0.012606600567135275,372.0395208719965,43.00618375837803,0.29714709141968115,1427.802405141294,0.3204202840673909,none,10
,deeplabv3,0,rgbd,run_01_seed_42,42,49,0.43706985,0.5726998665467484,0.7620843587472012,0.4692582538285571,0.011635141347742121,371.53595201122266,43.06447307020426,0.343842746,1414.361117512919,0.362620706,none,10
